CU Number,Status,Type,Type Description,Description 1,Description 2,Creation Date,Modified Date
N2B25CCY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;CONC;CU MAIN;MAINS BOX;80A,N2B25CCY80,17/02/1995,19/11/2015
N2B25WAI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;AL MAIN;IN LINE;50A,N2B25WAI50,14/05/1996,19/11/2015
N2B25WAI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;AL MAIN;IN LINE;80A,N2B25WAI80,14/05/1996,19/11/2015
N2B25WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;AL MAIN;50A,N2B25WAN50,16/02/1995,19/11/2015
N2B25WAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;AL MAIN;80A,N2B25WAN80,16/02/1995,19/11/2015
N2B25WAY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;AL MAIN;MAINS BOX;50A,N2B25WAY50,17/02/1995,19/11/2015
N2B25WAY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;AL MAIN;MAINS BOX;80A,N2B25WAY80,27/09/1995,19/11/2015
N2B25WBI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;ABC MAIN;IN LINE;50A,N2B25WBI50,14/05/1996,19/11/2015
N2B25WBI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;ABC MAIN;IN LINE;80A,N2B25WBI80,14/05/1996,19/11/2015
N2B25WBN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;ABC MAIN;50A,N2B25WBN50,17/02/1995,19/11/2015
N2B25WBN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;ABC MAIN;80A,N2B25WBN80,17/02/1995,19/11/2015
N2B25WBY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;ABC MAIN;MAINS BOX;50A,N2B25WBY50,17/02/1995,19/11/2015
N2B25WBY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;ABC MAIN;MAINS BOX;80A,N2B25WBY80,17/02/1995,19/11/2015
N2B25WCI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;CU MAIN;IN LINE;50A,N2B25WCI50,14/05/1996,19/11/2015
N2B25WCI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;CU MAIN;IN LINE;80A,N2B25WCI80,14/05/1996,19/11/2015
N2B25WCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;CU MAIN;50A,N2B25WCN50,17/02/1995,19/11/2015
N2B25WCN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;CU MAIN;80A,N2B25WCN80,17/02/1995,19/11/2015
N2B25WCY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;CU MAIN;MAINS BOX;50A,N2B25WCY50,17/02/1995,19/11/2015
N2B25WCY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2B25;WOOD;CU MAIN;MAINS BOX;80A,N2B25WCY80,17/02/1995,19/11/2015
N2NS16WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2NS/16;WOOD;AL COND;50A,N2NS16WAN50,2/08/1993,19/11/2015
N2NS16WAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2NS/16;WOOD;AL COND;80A,N2NS16WAN80,2/08/1993,19/11/2015
N2NS16WCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;2NS/16;WOOD;CU COND;50A,N2NS16WCN50,2/08/1993,19/11/2015
N3B25CAI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;CONC;AL MAIN;IN LINE;50A,N3B25CAI50,14/05/1996,19/11/2015
N3B25CAI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;CONC;AL MAIN;IN LINE;80A,N3B25CAI80,14/05/1996,19/11/2015
N3B25CAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;CONC;AL MAIN;50A,N3B25CAN50,17/02/1995,19/11/2015
N3B25CAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;CONC;AL MAIN;80A,N3B25CAN80,17/02/1995,19/11/2015
N3B25CBI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;CONC;ABC MAIN;IN LINE;80A,N3B25CBI80,14/05/1996,19/11/2015
N3B25CBN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;CONC;ABC MAIN;80A,N3B25CBN80,17/02/1995,19/11/2015
N3B25CCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;CONC;CU MAIN;50A,N3B25CCN50,17/02/1995,19/11/2015
N3B25WAI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;AL MAIN;IN LINE;50A,N3B25WAI50,14/05/1996,19/11/2015
N3B25WAI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;AL MAIN;IN LINE;80A,N3B25WAI80,14/05/1996,19/11/2015
N3B25WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;AL MAIN;50A,N3B25WAN50,17/02/1995,19/11/2015
N3B25WAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;AL MAIN;80A,N3B25WAN80,17/02/1995,19/11/2015
N3B25WAY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;AL MAIN;MAINS BOX;50A,N3B25WAY50,17/02/1995,19/11/2015
N3B25WAY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;AL MAIN;MAINS BOX;80A,N3B25WAY80,17/02/1995,19/11/2015
N3B25WBI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;ABC MAIN;IN LINE;50A,N3B25WBI50,14/05/1996,19/11/2015
N3B25WBI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;ABC MAIN;IN LINE;80A,N3B25WBI80,14/05/1996,19/11/2015
N3B25WBN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;ABC MAIN;50A,N3B25WBN50,17/02/1995,19/11/2015
N3B25WBN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;ABC MAIN;80A,N3B25WBN80,17/02/1995,19/11/2015
N3B25WBY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;ABC MAIN;MAINS BOX;50A,N3B25WBY50,17/02/1995,19/11/2015
N3B25WBY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;ABC MAIN;MAINS BOX;80A,N3B25WBY80,17/02/1995,19/11/2015
N3B25WCI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;CU MAIN;IN LINE;50A,N3B25WCI50,14/05/1996,19/11/2015
N3B25WCI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;CU MAIN;IN LINE;80A,N3B25WCI80,14/05/1996,19/11/2015
N3B25WCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;CU MAIN;50A,N3B25WCN50,17/02/1995,19/11/2015
N3B25WCN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;CU MAIN;80A,N3B25WCN80,17/02/1995,19/11/2015
N3B25WCY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;CU MAIN;MAINS BOX;50A,N3B25WCY50,17/02/1995,19/11/2015
N3B25WCY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;3B25;WOOD;CU MAIN;MAINS BOX;80A,N3B25WCY80,17/02/1995,19/11/2015
N4B25CAI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;AL MAIN;IN LINE;80A,N4B25CAI80,14/05/1996,19/11/2015
N4B25CAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;AL MAIN;80A,N4B25CAN80,20/10/1995,19/11/2015
N4B25CBI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;ABC MAIN;IN LINE;80A,N4B25CBI80,14/05/1996,19/11/2015
N4B25CBN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;ABC MAIN;80A,N4B25CBN80,20/10/1995,19/11/2015
N4B25CCI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;CU MAIN;IN LINE;80A,N4B25CCI80,14/05/1996,19/11/2015
N4B25CCN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;CU MAIN;100A,N4B25CCN100,20/10/1995,19/11/2015
N4B25CCN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;CU MAIN;80A,N4B25CCN80,20/10/1995,19/11/2015
N4B25CCY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;CONC;CU MAIN;MAINS BOX;80A,N4B25CCY80,20/10/1995,19/11/2015
N4B25WAI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;IN LINE;100A,N4B25WAI100,14/05/1996,19/11/2015
N4B25WAI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;IN LINE;50A,N4B25WAI50,14/05/1996,19/11/2015
N4B25WAI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;IN LINE;80A,N4B25WAI80,14/05/1996,19/11/2015
N4B25WAN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;100A,N4B25WAN100,20/10/1995,19/11/2015
N4B25WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;50A,N4B25WAN50,20/10/1995,19/11/2015
N4B25WAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;80A,N4B25WAN80,20/10/1995,19/11/2015
N4B25WAY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;MAINS BOX;100A,N4B25WAY100,20/10/1995,19/11/2015
N4B25WAY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;MAINS BOX;50A,N4B25WAY50,20/10/1995,19/11/2015
N4B25WAY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;AL MAIN;MAINS BOX;80A,N4B25WAY80,20/10/1995,19/11/2015
N4B25WBI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;IN LINE;100A,N4B25WBI100,14/05/1996,19/11/2015
N4B25WBI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;IN LINE;50A,N4B25WBI50,14/05/1996,19/11/2015
N4B25WBI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;IN LINE;80A,N4B25WBI80,14/05/1996,19/11/2015
N4B25WBN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;100A,N4B25WBN100,20/10/1995,19/11/2015
N4B25WBN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;50A,N4B25WBN50,20/10/1995,19/11/2015
N4B25WBN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;80A,N4B25WBN80,20/10/1995,19/11/2015
N4B25WBY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;MAINS BOX;100A,N4B25WBY100,20/10/1995,19/11/2015
N4B25WBY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;ABC MAIN;MAINS BOX;80A,N4B25WBY80,20/10/1995,19/11/2015
N4B25WCI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;IN LINE;100A,N4B25WCI100,14/05/1996,19/11/2015
N4B25WCI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;IN LINE;50A,N4B25WCI50,14/05/1996,19/11/2015
N4B25WCI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;IN LINE;80A,N4B25WCI80,14/05/1996,19/11/2015
N4B25WCN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;100A,N4B25WCN100,20/10/1995,19/11/2015
N4B25WCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;50A,N4B25WCN50,20/10/1995,19/11/2015
N4B25WCN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;80A,N4B25WCN80,20/10/1995,19/11/2015
N4B25WCY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;MAINS BOX;100A,N4B25WCY100,20/10/1995,19/11/2015
N4B25WCY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;MAINS BOX;50A,N4B25WCY50,20/10/1995,19/11/2015
N4B25WCY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B25;WOOD;CU MAIN;MAINS BOX;80A,N4B25WCY80,20/10/1995,19/11/2015
N4B35CAI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;AL MAIN;IN LINE;100A,N4B35CAI100,27/11/2009,19/11/2015
N4B35CAI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;AL MAIN;IN LINE;80A,N4B35CAI80,14/05/1996,19/11/2015
N4B35CAN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;AL MAIN;100A,N4B35CAN100,27/11/2009,19/11/2015
N4B35CAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;AL MAIN;80A,N4B35CAN80,17/02/1995,19/11/2015
N4B35CAY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;AL MAIN;MAINS BOX;100A,N4B35CAY100,27/11/2009,19/11/2015
N4B35CBI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;ABC MAIN;IN LINE;100A,N4B35CBI100,14/05/1996,19/11/2015
N4B35CBN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;ABC MAIN;100A,N4B35CBN100,17/02/1995,19/11/2015
N4B35CBY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;ABC MAIN;MAINS BOX;100A,N4B35CBY100,26/11/2009,19/11/2015
N4B35CCI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;CU MAIN;IN LINE;100A,N4B35CCI100,27/11/2009,19/11/2015
N4B35CCN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;CU MAIN;100A,N4B35CCN100,27/11/2009,19/11/2015
N4B35CCY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;CONC;CU MAIN;MAINS BOX;100A,N4B35CCY100,27/11/2009,19/11/2015
N4B35WAI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;IN LINE;100A,N4B35WAI100,14/05/1996,19/11/2015
N4B35WAI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;IN LINE;80A,N4B35WAI80,14/05/1996,19/11/2015
N4B35WAN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;100A,N4B35WAN100,17/02/1995,19/11/2015
N4B35WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;50A,N4B35WAN50,17/02/1995,19/11/2015
N4B35WAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;80A,N4B35WAN80,17/02/1995,19/11/2015
N4B35WAY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;MAINS BOX;100A,N4B35WAY100,17/02/1995,19/11/2015
N4B35WAY50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;MAINS BOX;50A,N4B35WAY50,17/02/1995,19/11/2015
N4B35WAY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;AL MAIN;MAINS BOX;80A,N4B35WAY80,17/02/1995,19/11/2015
N4B35WBI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;IN LINE;100A,N4B35WBI100,14/05/1996,19/11/2015
N4B35WBI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;IN LINE;50A,N4B35WBI50,14/05/1996,19/11/2015
N4B35WBI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;IN LINE;80A,N4B35WBI80,14/05/1996,19/11/2015
N4B35WBN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;100A,N4B35WBN100,17/02/1995,19/11/2015
N4B35WBN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;50A,N4B35WBN50,17/02/1995,19/11/2015
N4B35WBN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;80A,N4B35WBN80,17/02/1995,19/11/2015
N4B35WBY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;MAINS BOX;100A,N4B35WBY100,17/02/1995,19/11/2015
N4B35WBY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;ABC MAIN;MAINS BOX;80A,N4B35WBY80,17/02/1995,19/11/2015
N4B35WCI100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;IN LINE;100A,N4B35WCI100,14/05/1996,19/11/2015
N4B35WCI50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;IN LINE;50A,N4B35WCI50,14/05/1996,19/11/2015
N4B35WCI80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;IN LINE;80A,N4B35WCI80,14/05/1996,19/11/2015
N4B35WCN100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;100A,N4B35WCN100,17/02/1995,19/11/2015
N4B35WCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;50A,N4B35WCN50,17/02/1995,19/11/2015
N4B35WCN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;80A,N4B35WCN80,17/02/1995,19/11/2015
N4B35WCY100,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;MAINS BOX;100A,N4B35WCY100,17/02/1995,19/11/2015
N4B35WCY80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4B35;WOOD;CU MAIN;MAINS BOX;80A,N4B35WCY80,17/02/1995,19/11/2015
N4TT16CAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4TT/16;CONC;AL COND;80A,N4TT16CAN80,6/08/1993,19/11/2015
N4TT16WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4TT/16;WOOD;AL COND;50A,N4TT16WAN50,2/08/1993,19/11/2015
N4TT16WAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4TT/16;WOOD;AL COND;80A,N4TT16WAN80,2/08/1993,19/11/2015
N4TT16WCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4TT/16;WOOD;CU COND;50A,N4TT16WCN50,2/08/1993,19/11/2015
N4TT16WCN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4TT/16;WOOD;CU COND;80A,N4TT16WCN80,2/08/1993,19/11/2015
N4TT16WMN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;4TT/16;WOOD;MOON;80A,N4TT16WMN80,19/01/1994,19/11/2015
NAEF,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NAEF-NATURAL EARTH FOUNDATION,NAEF,28/11/1991,8/03/2001
NEON,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEON 19/3.75 AAAC 1120 WIRE / M,NEON,2/08/2002,15/06/2012
NMTR/NWMNTR,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,Network Monitor Create FLOC/Equip Only,NMTR/NWMONITOR,9/11/2021,9/11/2021
NPW10WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;PW/10;WOOD;AL COND;50A,NPW10WAN50,2/08/1993,19/11/2015
NPW16WAN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;PW/16;WOOD;AL COND;50A,NPW16WAN50,2/08/1993,10/03/2020
NPW16WAN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;PW/16;WOOD;AL COND;80A,NPW16WAN80,2/08/1993,10/03/2020
NPW16WCN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;PW/16;WOOD;CU COND;50A,NPW16WCN50,2/08/1993,10/03/2020
NPW16WCN80,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;PW/16;WOOD;CU COND;80A,NPW16WCN80,2/08/1993,10/03/2020
NPW16WMN50,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEW;PW/16;WOOD;MOON;50A,NPW16WMN50,19/01/1994,10/03/2020
NULECW27-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SWER recloser replacement with nulec w27,NULECW27-1,15/09/2008,15/09/2008
OD11-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,2B25 SERVICE +  30 M CABLE (MATERIALS),OD11-1,2/08/2002,23/11/2015
OD11-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,4B25 SERVICE + 30M CABLE (MATERIALS),OD11-2,2/08/2002,23/11/2015
OE,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW INLINE SUSPENSION (AAC, ACSR)",OE,15/06/2009,23/11/2015
OEA,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW ANGLE SUSPENSION (AAC, ACSR)",OEA,15/06/2009,23/11/2015
OEAR,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW RAISER ANGLE SUSPENSION(AAC, ACSR)",OEAR,15/06/2009,23/11/2015
OEP,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW POLE EARTH,OEP,15/06/2009,23/11/2015
OEPR,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW INLINE PIN RAISER  (AAC, ACSR)",OEPR,15/06/2009,23/11/2015
OER,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW RAISER INLINE SUSPENSION(AAC, ACSR)",OER,15/06/2009,23/11/2015
OES3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW SHACKLE 0-30 DEG (AAC, ACSR)",OES3,15/06/2009,23/11/2015
OES9,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW SHACKLE 31-90 DEG (AAC, ACSR)",OES9,15/06/2009,23/11/2015
OESR,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW RAISER TERMINATION (AAC, ACSR)",OESR,15/06/2009,23/11/2015
OET,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW TERMINATION (AAC, ACSR)",OET,15/06/2009,23/11/2015
OETR,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW RAISER TERMINATION (AAC, ACSR)",OETR,15/06/2009,23/11/2015
OEV,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW SUSPENSION VD,VO (AAC, ACSR)",OEV,15/06/2009,23/11/2015
OEVR,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"OHEW RAISER VDR, VOR (AAC, ACSR)",OEVR,3/08/2009,23/11/2015
OFPC-DTC,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F.PILOT 12.8mm CABLE DBL TERM CONCRETE,OFPC-DTC,1/06/2001,23/11/2015
